Latitude,Longitude,FSA
43.64444038,-79.39313084,M5V
43.73330655,-79.45274806,M3K
43.74983876,-79.27147933,M1P
43.76835836,-79.26078195,M1P
43.70485076,-79.43753858,M6B
43.65407279,-79.37995625,M5B
43.66864211,-79.38610455,M4Y
43.63211611,-79.54469169,M9B
43.6563248,-79.38091295,M5B
43.79704806,-79.14915937,M1B
43.73216948,-79.26796221,M1K
43.66643673,-79.34085259,M4M
