Latitude,Longitude,FSA
43.74266809,-79.4167096,M5M
43.72488149,-79.25397972,M1K
43.70151127,-79.4316931,M6C
43.6842274,-79.48399249,M6N
43.64304688,-79.35058676,M5A
43.70328602,-79.39762425,M4S
43.77540249,-79.17528071,M1E
43.6824568,-79.49171679,M6N
43.72087669,-79.24145833,M1M
43.62094188,-79.48275562,M8V
43.75739005,-79.27790712,M1P
43.75739005,-79.27790712,M1P
43.75165849,-79.45673941,M3H
43.77865227,-79.14082614,M1C
43.6609277,-79.35930126,M5A
43.75092589,-79.40381751,M2P
43.65138925,-79.47515232,M6S
43.59697759,-79.5224793,M8V
43.78396322,-79.34287155,M2J
43.68865192,-79.41267234,M5P
43.64735149,-79.41136713,M6J
43.67728143,-79.47692261,M6N
43.79265565,-79.35472494,M2J
43.66653281,-79.40451824,M5S
43.65206579,-79.39656254,M5T
43.75998089,-79.41790479,M2N
43.66669851,-79.38134985,M4Y
43.77211017,-79.25144717,M1H
43.66353355,-79.3289868,M4L
43.75739005,-79.27790712,M1P
43.63833968,-79.43034972,M6K
43.81844208,-79.23985268,M1X
43.64964699,-79.39210494,M5V
43.70210606,-79.49956165,M6M
43.6446629,-79.5233533,M8X
43.64964699,-79.39210494,M5V
43.66864211,-79.38610455,M4Y
43.7787434,-79.41529315,M2N
43.72620945,-79.49942935,M3M
43.66539805,-79.46327773,M6P
43.66539805,-79.46327773,M6P
43.69265057,-79.4408335,M6E
43.64500648,-79.37233975,M5E
43.7597983,-79.22539057,M1G
43.79747231,-79.40673303,M2M
43.67987014,-79.56351929,M9R
43.77327324,-79.28337249,M1P
43.71943975,-79.33198683,M3C
